client_id;company_name;contact_person;phone;email;country;city
1;Huff, Novak and House;Carol Tucker;6.608.260.647;smoore@novak.net;Bahamas;Brianshire
2;Shaw-Farrell;Tyler Miller;(219)313-6193;ksandoval@stewart.com;Dominican Republic;Randyport
3;Stewart-Walton;Jimmy Murillo;518-738-4251;eric84@riggs.net;French Southern Territories;East Josephville
4;Tran, Nelson and Jacobs;Christina Walters;687-440-1640x052;barnold@smith.com;Mayotte;Port Mikeside
5;Jordan Inc;Steven Flynn;4535315869;theresacochran@johnson-doyle.com;Slovenia;Phambury
6;Moore-Haynes;Andrew Ruiz;7.756.433.036;rasmussenjoshua@hicks.com;Wallis and Futuna;North Natalieview
7;Carpenter LLC;Kyle Reed;569-781-6934x06088;qjones@hanson-alvarado.com;Saint Helena;Williamchester
8;Powell-Phillips;Jason Bentley;+1-729-994-6804x43699;nramos@kennedy.com;Palestinian Territory;West Zacharymouth
9;Cardenas and Sons;Courtney Gonzalez;5038791769;jross@watts.com;Slovakia (Slovak Republic);Robinsonhaven
10;Williams-Wright;Joyce Solis;+1-688-595-7986x87277;katie87@allen.com;Faroe Islands;Luisside
11;Taylor and Sons;Christian Lewis;(965)287-6036x69096;kenneth66@adkins.com;Libyan Arab Jamahiriya;West Ryan
12;Price Ltd;Jennifer Martin;929.480.6990x162;greenmark@murphy-juarez.biz;Fiji;Kingland
13;Smith-Ryan;Mrs. Marie Harrington DDS;001-603-730-9232x71937;catherinestuart@wilson.com;Mozambique;West Barbarafurt
14;David-Gonzalez;Sandra Sanchez;001-749-219-0586x518;gshort@yu-reid.info;Russian Federation;South Gregory
15;Sheppard, Nelson and Morton;Karen Graham;001-794-253-1473x7996;lrosales@lewis-salinas.com;Fiji;Angelahaven
16;Miller Ltd;Justin Allen;777.801.4363x4957;michael74@king-martinez.com;Germany;Lake Amandaburgh
17;Robinson Group;Kevin Wolf;+1-641-234-3524x082;tranheidi@little.com;Tunisia;New Justinfort
18;Peterson-Sheppard;Scott Wilson;667-319-0229;davidduran@carlson.biz;Korea;Evansshire
19;Torres-Oliver;Natalie Meza;4.342.123.281;mhayes@carter-hall.com;Reunion;Jonesbury
20;French-Weber;Taylor Coleman;-2597;harrisonkevin@bender-mason.info;Kazakhstan;New Billchester
21;Morris, Wright and Davis;Sara Johnston;4498027874;ecosta@ortiz-morris.com;Togo;West Robert
22;Roberts-Landry;Krista Gibson;945-916-8087x60385;harrisandrea@kim-wolfe.com;Antarctica (the territory South of 60 deg S);Lake Eric
23;Smith, Russell and Walker;Ashley Valentine;+1-827-548-4677x3782;michellehill@morgan-french.com;Swaziland;West Jessicashire
24;Duarte, Burns and Hernandez;Haley Arnold;-5082;julie66@sparks.com;Brunei Darussalam;Mollymouth
25;Fox Group;Charles Pitts;(817)745-9615;cbrennan@jones.com;San Marino;South Tiffanyville
26;Jackson-Evans;Frederick Brown;(856)523-8692x221;jdurham@murray.info;Equatorial Guinea;Port Stevenport
