ID ZAPOSLENI,IME,POL,GODIŠTE,GODINE U FIRMI,PLATA (€),POZICIJA
1001,Joško Puškari?,Muškarac,1980,5,9620,Senior Magacioner
1002,Mara Miloslavi?,Muškarac,1984,2,6510,Magacioner I
1003,Tomislav Brleti?,Žena,1981,1,5550,Magacioner I
1004,Štefanija Nimac,Muškarac,1996,10,9060,Senior Magacioner
1005,Zdenka Radoševi?,Muškarac,2000,9,10070,Senior Magacioner
1006,An?ela Krpan,Muškarac,1994,10,9710,Senior Magacioner
1007,Jele Jureško,Muškarac,1985,7,9870,Senior Magacioner
1008,Siniša Vu?kovi?,Žena,1984,4,7260,Magacioner II
1009,Vlado Šimuni?,Muškarac,1992,2,7880,Magacioner II
1010,Laura Babi?,Žena,1981,8,10370,Senior Magacioner
1011,Zdravko Sabol,Muškarac,1992,2,8600,Magacioner II
1012,Albina Vuljak,Žena,1998,4,5110,Magacioner I
1013,Jadranka Rumora,Muškarac,1989,2,5250,Magacioner I
1014,Rudolf Buri?,Žena,1988,8,10620,Senior Magacioner
1015,Snježana Kokanovi?,Žena,1985,6,9900,Senior Magacioner
1016,Boris Jureti?,Muškarac,1988,2,6360,Magacioner I
1017,Jelena Vu?kovi?,Muškarac,1985,8,9970,Senior Magacioner
1018,Martin Tešija,Žena,2000,9,9560,Senior Magacioner
1019,Božica Iliji?,Žena,1981,4,5800,Magacioner I
1020,Bara Husnjak,Žena,1988,2,6450,Magacioner I
1021,Manda Vidas,Žena,1986,8,10010,Senior Magacioner
1022,Igor Na?inovi?,Žena,1984,5,9350,Senior Magacioner
1023,Ane Boži?,Muškarac,1997,9,9670,Senior Magacioner
1024,Mario Pongrac,Žena,1998,7,9920,Senior Magacioner
1025,An?ela Volari?,Muškarac,1984,9,10260,Senior Magacioner
1026,Dalibor Prpi?,Muškarac,1981,2,6600,Magacioner I
1027,Barica ?argonja,Muškarac,1993,10,9160,Senior Magacioner
1028,Dino Jurlina,Žena,1992,10,10190,Senior Magacioner
1029,Mia Banovac,Žena,1997,1,6740,Magacioner I
1030,Milka Dvojak,Žena,2000,6,9280,Senior Magacioner
